Id,c_l4,g_l4
379,4.5,212
380,4.5,380
381,4.5,1495
382,4.5,381
383,4.5,383
384,4.5,10042
385,4.5,36
386,4.5,1457
387,4.5,1457
388,4.5,711
389,4.5,1552
390,4.5,1552
391,4.5,391
392,4.5,392
393,4.5,20
394,4.5,1602
395,4.5,1776
396,4.5,1122
397,4.5,212
398,4.5,1656
399,4.5,398
400,4.5,400
401,4.5,457
402,4.5,402
403,4.5,402
404,4.5,404
405,4.5,404
406,4.5,1074
407,4.5,212
408,4.5,27069
409,4.5,27069
410,4.5,957
411,4.5,957
412,4.5,812
413,4.5,1602
414,4.5,404
415,4.5,415
416,4.5,415
417,4.5,7645
418,4.5,1237
419,4.5,420
420,4.5,212
421,4.5,421
422,4.5,421
423,4.5,1063
424,4.5,1063
425,4.5,425
426,4.5,426
427,4.5,415
428,4.5,429
429,4.5,428
430,4.5,2525
431,4.5,431
432,4.5,910
433,4.5,3966
434,4.5,185
435,4.5,7645
436,4.5,436
437,4.5,1
438,4.5,212
439,4.5,1602
440,4.5,1343
441,4.5,415
442,4.5,442
443,4.5,150
444,4.5,444
445,4.5,3141
446,4.5,446
447,4.5,425
448,4.5,2421
449,4.5,66
450,4.5,450
451,4.5,415
452,4.5,425
453,4.5,453
454,4.5,453
455,4.5,796
456,4.5,796
457,4.5,457
458,4.5,474
459,4.5,1248
460,4.5,89
461,4.5,461
462,4.5,85
463,4.5,1790
464,4.5,6814
465,4.5,695
466,4.5,910
467,4.5,421
468,4.5,402
469,4.5,5926
470,4.5,5926
471,4.5,695
472,4.5,1602
473,4.5,1
474,4.5,474
475,4.5,1237
476,4.5,1
477,4.5,2421
478,4.5,2421
479,4.5,653
480,4.5,29346
481,4.5,425
482,4.5,3141
483,4.5,483
484,4.5,415
485,4.5,150
486,4.5,150
487,4.5,487
488,4.5,487
489,4.5,489
490,4.5,910
491,4.5,1583
492,4.5,1583
493,4.5,493
494,4.5,1565
495,4.5,1565
496,4.5,212
497,4.5,85
498,4.5,499
499,4.5,812
500,4.5,500
501,4.5,124
502,4.5,1457
503,4.5,76
504,4.5,1343
505,4.5,505
506,4.5,505
507,4.5,507
508,4.5,507
509,4.5,509
510,4.5,1602
511,4.5,26196
512,4.5,512
513,4.5,3141
514,4.5,188
515,4.5,515
516,4.5,516
517,4.5,212
518,4.5,212
519,4.5,519
520,4.5,415
521,4.5,1
522,4.5,1477
523,4.5,415
524,4.5,2421
525,4.5,474
526,4.5,212
527,4.5,425
528,4.5,425
529,4.5,507
530,4.5,3931
531,4.5,1122
532,4.5,425
533,4.5,76
534,4.5,910
535,4.5,2421
536,4.5,536
537,4.5,1602
538,4.5,728
539,4.5,7645
540,4.5,540
541,4.5,540
542,4.5,1602
543,4.5,1602
544,4.5,5926
545,4.5,5579
546,4.5,957
547,4.5,302
548,4.5,12447
549,4.5,12447
550,4.5,487
551,4.5,1122
552,4.5,1122
553,4.5,487
554,4.5,12541
555,4.5,12541
556,4.5,1217
557,4.5,1217
558,4.5,558
559,4.5,425
560,4.5,561
561,4.5,560
562,4.5,1602
563,4.5,14389
564,4.5,564
565,4.5,796
566,4.5,3141
567,4.5,3141
568,4.5,212
569,4.5,2521
570,4.5,170
571,4.5,571
572,4.5,425
573,4.5,1552
574,4.5,212
575,4.5,575
576,4.5,576
577,4.5,1
578,4.5,579
579,4.5,578
580,4.5,556
581,4.5,581
582,4.5,8127
583,4.5,583
584,4.5,796
585,4.5,4159
586,4.5,70
587,4.5,421
588,4.5,728
589,4.5,7645
590,4.5,589
591,4.5,212
592,4.5,212
593,4.5,593
594,4.5,1063
595,4.5,1248
596,4.5,415
597,4.5,415
598,4.5,910
599,4.5,882
600,4.5,3967
601,4.5,212
602,4.5,1602
603,4.5,507
604,4.5,604
605,4.5,150
606,4.5,5926
607,4.5,606
608,4.5,608
609,4.5,712
610,4.5,695
611,4.5,611
612,4.5,3141
613,4.5,957
614,4.5,425
615,4.5,728
616,4.5,3141
617,4.5,1063
618,4.5,823
619,4.5,1122
620,4.5,812
621,4.5,415
622,4.5,4312
623,4.5,6031
624,4.5,6031
625,4.5,625
626,4.5,1248
627,4.5,487
628,4.5,124
629,4.5,1565
630,4.5,631
631,4.5,631
632,4.5,25338
633,4.5,1602
634,4.5,5343
635,4.5,5343
636,4.5,882
637,4.5,882
638,4.5,638
639,4.5,638
640,4.5,7414
641,4.5,1457
642,4.5,133
643,4.5,1457
644,4.5,425
645,4.5,910
646,4.5,646
647,4.5,1063
648,4.5,1248
649,4.5,400
650,4.5,910
651,4.5,695
652,4.5,796
653,4.5,796
654,4.5,728
655,4.5,655
656,4.5,656
657,4.5,657
658,4.5,13107
659,4.5,882
660,4.5,660
661,4.5,3141
662,4.5,1602
663,4.5,1602
664,4.5,664
665,4.5,910
666,4.5,85
667,4.5,170
668,4.5,1122
669,4.5,1229
670,4.5,1248
671,4.5,671
672,4.5,799
673,4.5,1248
674,4.5,212
675,4.5,675
676,4.5,2035
677,4.5,76
678,4.5,1
679,4.5,1602
680,4.5,1602
681,4.5,682
682,4.5,681
683,4.5,683
684,4.5,1063
685,4.5,685
686,4.5,957
